product_id,product_name,best_supplier,reference_unit_cost,effective_unit_cost,bellman_ford_distance,savings_per_unit,savings_pct,capacity_units,supplier_capacity,purchase_lines,last_purchase,has_negative_edge
5091,PROBETA DE VIDRIO GRADUADA C/PICO 100 ML,MATRAZ PERU E.I.R.L.,10.4,8.92,-1.48,1.48,0.142308,30.0,1697.0,2,2025-10-09,True
5095,PROBETA DE PLASTICO GRADUADA 250 ML,CORPORACION PROMELAB E.I.R.L.,9.358916,8.0,-1.358916,1.358916,0.1452,12.0,1250.0,6,2026-01-12,True
5382,TIRAS MEDIDORAS DE PH (CAJA *100UND),CORPORACION PROMELAB E.I.R.L.,9.333333,8.0,-1.333333,1.333333,0.142857,50.0,1250.0,6,2025-12-03,True
5090,PROBETA DE VIDRIO GRADUADA C/PICO 50 ML G-,MATRAZ PERU E.I.R.L.,8.0,6.7,-1.3,1.3,0.1625,100.0,1697.0,1,2025-11-29,True
5083,VASO PRECIPITADO DE VIDRIO 1L (BEAKER),MATRAZ PERU E.I.R.L.,7.866667,6.58,-1.286667,1.286667,0.163559,72.0,1697.0,1,2026-03-04,True
5265,PIPETA SEREOLOGICA GRADUADA VIDRIO 5ML - CITOGLAS,CORPORACION PROMELAB E.I.R.L.,5.285714,4.0,-1.285714,1.285714,0.243243,5.0,1250.0,7,2026-04-17,True
5084,VASO PRECIPITADO DE VIDRIO 500 ML (BEAKER),IMPORTADORA ANDINA E.I.R.L,6.0,4.8,-1.2,1.2,0.2,8.0,66.0,3,2025-09-17,True
5424,GRADILLA CUBIERTA DE PLASTICO 3*4,IMPORTADORA ANDINA E.I.R.L,7.5,6.3232,-1.1768,1.1768,0.156907,25.0,66.0,1,2025-11-26,True
5202,FRASCO ROLL-ON PAVONADO 10ML C/TAPON Y TAPA,ENVIPLAST E.I.R.L.,1.2,0.1,-1.1,1.1,0.916667,50.0,2050.0,3,2025-07-16,True
5461,MATRAZ ERLENMEYER DE VIDRIO BORO 50ML g-,MATRAZ PERU E.I.R.L.,4.31,3.3,-1.01,1.01,0.234339,192.0,1697.0,1,2025-11-29,True
0006,MATERIAL MEDICO,DIMMED S.A.C.,5.0,4.0,-1.0,1.0,0.2,6.0,6.0,1,2026-02-18,True
5100,PINZA PARA TUBO DE ENSAYO DE METAL 11.5CM,CORPORACION PROMELAB E.I.R.L.,6.0,5.0,-1.0,1.0,0.166667,10.0,1250.0,5,2026-04-16,True
5110,PIPETA SEREOLOGICA GRADUADA DE VIDRIO DE 10ML - CITOGLAS,CORPORACION PROMELAB E.I.R.L.,6.0,5.0,-1.0,1.0,0.166667,10.0,1250.0,6,2026-03-27,True
5129,ESPATULA MANGO DE MADERA 20 CM,CORPORACION PROMELAB E.I.R.L.,7.0,6.0,-1.0,1.0,0.142857,2.0,1250.0,2,2025-09-30,True
